uid,title,score,members,popularity,cluster,cluster_label,reason
23479,Itadaki! Seieki♥ Special,7.19,10721,4235,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
19051,Imouto Paradise! 2,7.19,10701,4226,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
38470,Saimin Seishidou,7.2,3245,6827,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
10106,Sweet Home: H na Oneesan wa Suki Desu ka?,7.21,8225,4707,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
5774,Seitokaichou ni Chuukoku,7.21,34737,2357,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
29808,Namaiki: Kissuisou e Youkoso! The Animation,7.21,8798,4575,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
10048,Fuyu no Semi Special,7.2,3716,6480,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
21521,Futa-bu!,7.21,16603,3514,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
38732,"Chikan Shita Joshi*sei to Sonogo, Musabori Au Youna Doero Junai",7.21,1533,8630,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
15097,Tropical Kiss,7.22,16170,3560,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
30243,Gakuen de Jikan yo Tomare,7.23,12415,3971,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
10683,Tentacle and Witches,7.24,11474,4102,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
5097,Hatsu Inu 2 The Animation: Strange Kind of Woman - Again,7.24,11288,4129,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
719,Ai no Kusabi,7.24,28176,2660,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
33505,Tsumamigui 3 The Animation,7.25,5624,5501,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
37233,Muttsuri Dosukebe Tsuyu Gibo Shimai no Honshitsu Minuite Sex Sanmai,7.25,4742,5908,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
11053,Doraemon Movie 32: Nobita to Kiseki no Shima - Animal Adventure,7.24,1846,8143,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2670,Doraemon Movie 12: Nobita no Dorabian Nights,7.24,3729,6465,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2677,Doraemon Movie 11: Nobita to Animal Planet,7.24,2821,7147,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
37863,Diamond Fusion,7.24,1302,8976,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2679,Teki wa Kaizoku: Neko-tachi no Kyouen,6.28,1074,9371,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
35815,Boku dake ga Inai Machi Recap,7.24,14785,3702,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
9200,Dae Jang Geum: Jang Geum's Dream 2,7.24,927,9685,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3451,Space Oz no Bouken,6.28,281,12328,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
18441,Blood Lad: Wagahai wa Neko de wa Nai,7.24,76473,1399,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
14367,Tenshi na Konamaiki Specials,6.28,820,9928,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
32086,Blame! Movie,7.24,68223,1535,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
36919,Shuwarin☆Dorimin,6.28,1208,9141,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
29511,Ongaku Shoujo,6.28,10514,4249,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
34465,Ao no Exorcist: Kyoto Fujouou-hen OVA,7.24,44641,2047,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
